Genotype,Population,Treatment,total_flower,Marked_flower,Unmarked_flower,Supp_flower,Marked_fruit,Unmarked_fruit,Total_fruit,Average of Flower_size,Average of tunnel_volume_cm,Average of bp_area,Fruitset_total,Fruitset_marked,Sum of seed_marked,Seeds_unmarked,Total_seed
K212,KUR,CONTROL,5,3,2,0,2,0.0,2.0,52.78403333333333,3.486394333333333,7.852666666666667,0.4,0.6666666666666666,30.0,0.0,30.0
K213,KUR,CONTROL,4,2,2,0,1,1.0,2.0,33.4634,3.4382145,5.7765,0.5,0.5,3.0,20.0,23.0
K214,KUR,CONTROL,3,2,1,0,0,1.0,1.0,42.8232,3.1990605,7.427,0.3333333333333333,0.0,0.0,8.0,8.0
K215,KUR,CONTROL,9,5,4,0,3,1.0,4.0,38.078199999999995,3.7568836000000005,7.610200000000001,0.4444444444444444,0.6,65.0,20.0,85.0
K215b,KUR,CONTROL,2,1,1,0,1,0.0,1.0,50.77799999999999,3.96774,7.998,0.5,1.0,48.0,0.0,48.0
K216,KUR,CONTROL,5,3,2,0,2,1.0,3.0,43.38936666666666,3.1459413333333335,7.851666666666667,0.6,0.6666666666666666,19.0,44.0,63.0
K217,KUR,CONTROL,32,12,20,0,6,3.0,9.0,42.84049166666667,2.2014000833333336,6.973000000000002,0.28125,0.5,113.0,,
K218,KUR,CONTROL,10,6,4,0,5,0.0,5.0,41.446000000000005,3.2467473333333334,6.546833333333333,0.5,0.8333333333333334,25.0,0.0,25.0
K219,KUR,CONTROL,7,2,5,0,1,5.0,6.0,46.151650000000004,3.200031,10.3045,0.8571428571428571,0.5,46.0,43.0,89.0
K220,KUR,CONTROL,7,2,5,0,1,1.0,2.0,27.4122,3.0993239999999997,8.485,0.2857142857142857,0.5,18.0,21.0,39.0
K221,KUR,CONTROL,24,6,18,0,2,0.0,2.0,37.34515,2.9983796666666667,8.3695,0.08333333333333333,0.3333333333333333,47.0,0.0,47.0
K222,KUR,CONTROL,16,3,13,0,0,,,24.502266666666667,2.536304,5.735333333333334,,0.0,0.0,0.0,0.0
N006,NET,SUPP,1,1,0,1,1,1.0,2.0,51.68240000000001,3.9097800000000005,9.664,2.0,1.0,3.0,5.0,8.0
N007,NET,CONTROL,3,1,2,0,1,0.0,1.0,38.551500000000004,4.260059999999999,7.778,0.3333333333333333,1.0,15.0,0.0,15.0
N012,NET,SUPP,7,5,2,5,4,0.0,4.0,51.282619999999994,3.1151504,7.260800000000001,0.5714285714285714,0.8,127.0,0.0,127.0
N016,NET,SUPP,3,1,2,1,0,1.0,1.0,45.17100000000001,2.425437,6.292,0.3333333333333333,0.0,0.0,9.0,9.0
N017,NET,SUPP,2,1,1,1,1,0.0,1.0,31.956599999999998,3.256407,6.314,0.5,1.0,7.0,0.0,7.0
N041,NET,CONTROL,6,2,4,0,0,1.0,1.0,48.00314999999999,3.643124,8.401,0.16666666666666666,0.0,0.0,9.0,9.0
N043,NET,CONTROL,4,2,2,0,2,0.0,2.0,47.699299999999994,4.1687425000000005,9.001000000000001,0.5,1.0,67.0,0.0,67.0
N049,NET,CONTROL,1,1,0,0,0,0.0,0.0,32.986799999999995,3.1770899999999997,8.519,0.0,0.0,0.0,0.0,0.0
N050,NET,CONTROL,8,3,5,0,1,0.0,1.0,40.17633333333333,2.808479,8.316666666666666,0.125,0.3333333333333333,32.0,0.0,32.0
N051,NET,CONTROL,15,3,12,0,0,0.0,0.0,48.78566666666666,5.649018000000001,7.521,0.0,0.0,0.0,0.0,0.0
N055,NET,CONTROL,2,2,0,0,1,1.0,2.0,43.9097,2.9062175,6.1205,1.0,0.5,26.0,9.0,35.0
N056,NET,CONTROL,8,5,3,0,4,3.0,7.0,39.154039999999995,2.4268516,7.588000000000001,0.875,0.8,62.0,,
N073,NET,SUPP,1,1,0,1,1,0.0,1.0,35.7294,3.007056,8.771,1.0,1.0,58.0,0.0,58.0
N075,NET,SUPP,1,1,0,1,1,0.0,1.0,75.9096,4.25776,6.492,1.0,1.0,8.0,0.0,8.0
N077,NET,CONTROL,3,2,1,0,0,2.0,2.0,47.517799999999994,3.3657779999999997,6.3294999999999995,0.6666666666666666,0.0,0.0,12.0,12.0
N090,NET,CONTROL,1,1,0,0,1,0.0,1.0,45.9795,1.8327869999999997,7.489,1.0,1.0,34.0,0.0,34.0
N098,NET,SUPP,1,1,0,1,1,0.0,1.0,45.966,2.556036,10.928,1.0,1.0,2.0,0.0,2.0
N103,NET,SUPP,1,1,0,1,1,0.0,1.0,30.6747,1.978792,11.095,1.0,1.0,39.0,0.0,39.0
N111,NET,SUPP,5,2,3,2,0,0.0,0.0,52.713,4.92147,10.043,0.0,0.0,0.0,0.0,0.0
N119,NET,CONTROL,2,1,1,0,1,0.0,1.0,81.98899999999999,4.279209,8.166,0.5,1.0,8.0,0.0,8.0
N122,NET,SUPP,1,1,0,1,0,0.0,0.0,44.7596,2.9352959999999997,8.043,0.0,0.0,0.0,0.0,0.0
N131,NET,CONTROL,10,3,7,0,2,0.0,2.0,49.79986666666667,3.5520826666666667,8.232666666666667,0.2,0.6666666666666666,17.0,0.0,17.0
N167,NET,CONTROL,1,1,0,0,1,0.0,1.0,81.08359999999999,5.260140000000001,7.153,1.0,1.0,23.0,0.0,23.0
N170,NET,CONTROL,1,1,0,0,1,0.0,1.0,38.223,2.242,8.234,1.0,1.0,29.0,0.0,29.0
N177,NET,SUPP,2,1,1,1,0,0.0,0.0,54.416,2.4544,6.201,0.0,0.0,0.0,0.0,0.0
N178,NET,CONTROL,6,4,2,0,1,0.0,1.0,65.39985,4.581713,7.4254999999999995,0.16666666666666666,0.25,44.0,0.0,44.0
N181,NET,SUPP,1,1,0,1,1,1.0,2.0,40.4766,2.0394,6.967,2.0,1.0,2.0,5.0,7.0
N185,NET,SUPP,1,1,0,1,1,0.0,1.0,64.848,3.0401279999999997,7.224,1.0,1.0,55.0,0.0,55.0
N186,NET,CONTROL,11,3,8,0,2,0.0,2.0,64.05766666666666,3.9429266666666662,7.669,0.18181818181818182,0.6666666666666666,60.0,0.0,60.0
N187,NET,CONTROL,5,5,0,0,2,0.0,2.0,64.48946,4.556602,6.947999999999999,0.4,0.4,45.0,0.0,45.0
N188,NET,CONTROL,34,8,26,0,5,3.0,8.0,56.74620000000001,3.7565996249999998,7.929374999999999,0.23529411764705882,0.625,81.0,,
N189,NET,CONTROL,7,4,3,0,3,0.0,3.0,50.83265,3.0503629999999995,10.43,0.42857142857142855,0.75,25.0,0.0,25.0
N190,NET,CONTROL,10,5,5,0,3,0.0,3.0,55.46036,3.5818157999999998,8.3992,0.3,0.6,41.0,0.0,41.0
N191,NET,CONTROL,20,9,11,0,4,0.0,4.0,49.197488888888884,4.138901888888889,8.793666666666667,0.2,0.4444444444444444,133.0,0.0,133.0
N192,NET,SUPP,12,7,5,7,5,1.0,6.0,50.08268571428572,4.408214142857142,6.799857142857142,0.5,0.7142857142857143,101.0,27.0,128.0
N193,NET,CONTROL,12,8,4,0,4,0.0,4.0,55.7784,3.8903466250000003,7.050375,0.3333333333333333,0.5,56.0,0.0,56.0
N194,NET,SUPP,9,4,5,4,2,1.0,3.0,54.49385,4.578324,9.444749999999999,0.3333333333333333,0.5,34.0,19.0,53.0
N195,NET,SUPP,4,3,1,3,2,1.0,3.0,67.06466666666667,5.360754,9.019666666666666,0.75,0.6666666666666666,7.0,27.0,34.0
N196,NET,SUPP,7,2,5,2,1,1.0,2.0,52.4692,4.506124,8.596,0.2857142857142857,0.5,,33.0,
N197,NET,CONTROL,6,2,4,0,2,0.0,2.0,82.64580000000001,4.318484,8.987,0.3333333333333333,1.0,28.0,0.0,28.0
N198,NET,SUPP,11,8,3,8,6,1.0,7.0,64.09994999999999,3.0885102499999997,8.484749999999998,0.6363636363636364,0.75,48.0,58.0,106.0
N199,NET,CONTROL,5,2,3,0,0,1.0,1.0,47.00155,3.0253310000000004,7.9719999999999995,0.2,0.0,0.0,29.0,29.0
N200,NET,SUPP,5,3,2,3,2,1.0,3.0,37.61806666666667,3.6955266666666664,7.735333333333334,0.6,0.6666666666666666,9.0,24.0,33.0
N234,NET,CONTROL,1,1,0,0,0,0.0,0.0,59.5584,6.671280000000001,9.588,0.0,0.0,0.0,0.0,0.0
N900,NET,CONTROL,1,1,0,0,0,0.0,0.0,31.7393,2.75184,8.832,0.0,0.0,0.0,0.0,0.0
N902,NET,SUPP,1,1,0,1,1,0.0,1.0,50.530699999999996,5.975159999999999,5.978,1.0,1.0,6.0,0.0,6.0
N906,NET,CONTROL,1,1,0,0,0,0.0,0.0,58.547999999999995,3.3733,7.508,0.0,0.0,0.0,0.0,0.0
N910,NET,SUPP,2,1,1,1,0,0.0,0.0,46.99139999999999,3.4329400000000003,6.043,0.0,0.0,0.0,0.0,0.0
